=== libciper.so exported/defined symbols (crypto primitives) ===
173 ---------- 0x0000c054 GLOBAL OBJ    4        nenv
174 0x00006424 0x00006424 GLOBAL FUNC   116      patternHasNext
175 0x000046dc 0x000046dc GLOBAL FUNC   300      Java_com_honeywell_comm_JNIRequest_jniCreateFile
176 0x00006900 0x00006900 GLOBAL FUNC   260      select_serial
177 0x000059b8 0x000059b8 GLOBAL FUNC   84       receiveHasNextTerminalProperty
178 0x0000414c 0x0000414c GLOBAL FUNC   304      Java_com_honeywell_comm_JNIRequest_jniGetAllFilesInFolder
179 0x00003330 0x00003330 GLOBAL FUNC   156      debugTPIO
180 0x00007a5c 0x00007a5c GLOBAL FUNC   176      RunShellCommand
181 0x00006404 0x00006404 GLOBAL FUNC   32       patternResetHasNext
182 0x00006b04 0x00006b04 GLOBAL FUNC   544      read_serial_record
183 0x00006dbc 0x00006dbc GLOBAL FUNC   532      masterslavesendFileBlockRecv2
184 0x0000627c 0x0000627c GLOBAL FUNC   392      handlePatternMessage
185 ---------- 0x0000d818 GLOBAL NOTYPE 0        __bss_end__
186 0x000034b8 0x000034b8 GLOBAL FUNC   188      debugTerminalPropertyWithValue
187 0x0000502c 0x0000502c GLOBAL FUNC   52       SetSendMessage
188 0x00003a00 0x00003a00 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetMaxPublicVariableRecordEntries
189 0x00006a04 0x00006a04 GLOBAL FUNC   256      select_serial_nowait
190 0x00003768 0x00003768 GLOBAL FUNC   232      Java_com_honeywell_comm_JNIRequest_jniBeginBuildFileBlockRecord
191 0x00006068 0x00006068 GLOBAL FUNC   140      receiveNextValuePublicVariable
192 0x00003a80 0x00003a80 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniHasNextPvid
193 0x00003c34 0x00003c34 GLOBAL FUNC   200      Java_com_honeywell_comm_JNIRequest_jniFileClose
194 0x00004ffc 0x00004ffc GLOBAL FUNC   24       getReceiveIOCommandStatus
195 0x000030d0 0x000030d0 GLOBAL NOTYPE 0        _btext
196 0x00003e1c 0x00003e1c GLOBAL FUNC   372      Java_com_honeywell_comm_JNIRequest_jniSendFileData
197 0x00007318 0x00007318 GLOBAL FUNC   1668     GetAllFilesInFolder
198 0x00005a68 0x00005a68 GLOBAL FUNC   140      receiveNextValueTerminalProperty
199 0x0000b02c 0x0000c02c GLOBAL OBJ    8        libciperVersion
200 ---------- 0x0000ce04 GLOBAL OBJ    520      fileblockrecordmessage
201 0x0000600c 0x0000600c GLOBAL FUNC   92       receiveNextPublicVariable
202 0x0000b000 0x0000c000 GLOBAL NOTYPE 0        __data_start
203 0x000033cc 0x000033cc GLOBAL FUNC   26       debugTPId
204 0x00005d00 0x00005d00 GLOBAL FUNC   144      handleLinearMessage
205 0x00004888 0x00004888 GLOBAL FUNC   116      current_timestamp_str
206 0x0000a91c 0x0000a91c GLOBAL NOTYPE 0        __exidx_end
207 0x00003938 0x00003938 GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniNextTpid
41  0x000030d0 0x000030d0 LOCAL  FUNC   0        deregister_tm_clones
44  0x00003110 0x00003110 LOCAL  FUNC   0        register_tm_clones
48  0x00003154 0x00003154 LOCAL  FUNC   0        __do_global_dtors_aux
52  0x0000ace4 0x0000bce4 LOCAL  OBJ    0        __do_global_dtors_aux_fini_array_entry
54  0x000031ac 0x000031ac LOCAL  FUNC   0        frame_dummy
324 0x00008e7c 0x00008e7c LOCAL  FUNC   90       __floatdidf
327 0x00008e0c 0x00008e0c LOCAL  FUNC   34       __floatsidf
329 0x00008dec 0x00008dec LOCAL  FUNC   30       __aeabi_ui2d
330 0x00008b68 0x00008b68 LOCAL  FUNC   0        __aeabi_drsub
331 0x00008e30 0x00008e30 LOCAL  FUNC   58       __extendsfdf2
332 0x00008b74 0x00008b74 LOCAL  FUNC   630      __adddf3
333 0x00008dec 0x00008dec LOCAL  FUNC   30       __floatunsidf
334 0x00008b74 0x00008b74 LOCAL  FUNC   630      __aeabi_dadd
335 0x00008e6c 0x00008e6c LOCAL  FUNC   106      __aeabi_ul2d
336 0x00008b70 0x00008b70 LOCAL  FUNC   634      __aeabi_dsub
338 0x00008e0c 0x00008e0c LOCAL  FUNC   34       __aeabi_i2d
339 0x00008e7c 0x00008e7c LOCAL  FUNC   90       __aeabi_l2d
340 0x0000adb4 0x0000bdb4 LOCAL  OBJ    0        _GLOBAL_OFFSET_TABLE_
341 0x00008e30 0x00008e30 LOCAL  FUNC   58       __aeabi_f2d
342 0x00008b70 0x00008b70 LOCAL  FUNC   634      __subdf3
347 0x00006068 0x00006068 GLOBAL FUNC   140      receiveNextValuePublicVariable
348 0x000036bc 0x000036bc GLOBAL FUNC   96       Java_com_honeywell_comm_JNIRequest_init
350 0x00008848 0x00008848 GLOBAL FUNC   164      receiveSerialSync
351 0x000038f8 0x000038f8 GLOBAL FUNC   34       Java_com_honeywell_comm_JNIRequest_jniEndBuildTerminalPropertyRecord
352 0x00006424 0x00006424 GLOBAL FUNC   116      patternHasNext
